Entry Point: 0x7FF6A8180000
GObjects: 0x7FF6AA555DC8
GNames: 0x7FF6AA555D80

Processing Package: Core

ScriptStruct: Rotator                                          - Instance: 0x1F2FFBC2500
Class: RPC_CanShowAvatar_X                                     - Instance: 0x1F3EB3DF400
Class: ReservationsSettingUpMatchMessage_X                     - Instance: 0x1F3EB3DF000
Class: RPC_AddPlayerToRole_X                                   - Instance: 0x1F3EB3DEC00
Class: RPC_ClearClubInvites_X                                  - Instance: 0x1F3EB3DE800
Class: RPC_ClubsRecordStats_X                                  - Instance: 0x1F3EB3DE400
Class: RPC_FileStorage_GetFileDownloadUrl_X                    - Instance: 0x1F3EB3DE000
Class: RPC_FileStorage_GetFileUploadUrl_X                      - Instance: 0x1F3EB3DDC00
Class: RPC_GetAntiAddictionData_X                              - Instance: 0x1F3EB3DD800
Class: RPC_GetClubStats_X                                      - Instance: 0x1F3EB3DD400
Class: RPC_GetClubTitles_X                                     - Instance: 0x1F3EB3DD000
Class: RPC_GetGenericDataAll_X                                 - Instance: 0x1F3EB3DCC00
Class: RPC_GetPlayerTitles_X                                   - Instance: 0x1F3EB3DC800
Class: RPC_RemovePlayerFromRole_X                              - Instance: 0x1F3EB3DC400
Class: RPC_ReportExploiter_X                                   - Instance: 0x1F3EB39FC00
Class: RPC_ReportLowFPS_X                                      - Instance: 0x1F3EB39F800
Class: RPC_SetClubMotD_X                                       - Instance: 0x1F3EB39F400
Class: RPC_SetPlayerSkill_X                                    - Instance: 0x1F3EB39F000
Class: RPC_SetPlayerSkillTier_X                                - Instance: 0x1F3EB39EC00
Class: RPC_SetRichPresence_X                                   - Instance: 0x1F3EB39E800
Class: RPC_SetSeasonReward_X                                   - Instance: 0x1F3EB39E400
Class: RPC_Test_X                                              - Instance: 0x1F3EB39E000
Class: TestsHelper_X                                           - Instance: 0x1F3EB39DC00
Class: RPC_TestPlayerID_X                                      - Instance: 0x1F3EB39D800
Class: RPC_UpdateClub_X                                        - Instance: 0x1F3EB39D400
Class: SeqAct_SpawnArchetype_X                                 - Instance: 0x1F3EB39D000
Class: SkelControlBlendTargetComponent_X                       - Instance: 0x1F3EB39CC00
Class: SmoothDynamicValue_X                                    - Instance: 0x1F3EB39C800
Class: StringUtil_X                                            - Instance: 0x1F3EB39C400
Class: TimeWindowOptional_X                                    - Instance: 0x1F3EB33FC00
Class: UdpLanServer_X                                          - Instance: 0x1F3EB33F800

Processing Package: TAGame

ScriptStruct: MatchData                                        - Instance: 0x1F3EB266F80
ScriptStruct: PrespawnData                                     - Instance: 0x1F3EB266980
ScriptStruct: VoiceRoomCredentials                             - Instance: 0x1F3EB266680
ScriptStruct: PlayerVoiceRoomCredentials                       - Instance: 0x1F3EB266800
ScriptStruct: ActivePlayerVoice                                - Instance: 0x1F3EB266500
ScriptStruct: VoiceRoomErrorMetric                             - Instance: 0x1F3EB266380
ScriptStruct: VoiceRoomPlayerActivity                          - Instance: 0x1F3EB266200
ScriptStruct: VoiceRoomDetails                                 - Instance: 0x1F3EB266080
ScriptStruct: PlayerMessageInfo                                - Instance: 0x1F3EB266B00
ScriptStruct: VehicleInputs                                    - Instance: 0x1F3EB265D80
ScriptStruct: ClientOnlineProductStat                          - Instance: 0x1F3EB265C00
ScriptStruct: RandomWeight                                     - Instance: 0x1F3EB265900
ScriptStruct: AssetLoadResult                                  - Instance: 0x1F3EB265600
ScriptStruct: ProductThumbnailResult                           - Instance: 0x1F3EB265180
ScriptStruct: MapImageLoadResult                               - Instance: 0x1F3EB265000
ScriptStruct: ClientLoadoutData                                - Instance: 0x1F3EB264D00
ScriptStruct: LoadoutTeamColor                                 - Instance: 0x1F3EB264880
ScriptStruct: LoadoutTeamPaint                                 - Instance: 0x1F3EB264A00
ScriptStruct: LoadoutData                                      - Instance: 0x1F3EB264B80
ScriptStruct: ClientLoadoutOnlineProduct                       - Instance: 0x1F3EB263880
ScriptStruct: ClientLoadoutOnlineData                          - Instance: 0x1F3EB264700
ScriptStruct: InputRate                                        - Instance: 0x1F3EB264400
ScriptStruct: TurningCircle                                    - Instance: 0x1F3EB264280
ScriptStruct: GFxTeamColor                                     - Instance: 0x1F3EB263280
ScriptStruct: MapGroup                                         - Instance: 0x1F3EB263100
ScriptStruct: StatValue                                        - Instance: 0x1F3EB262800
ScriptStruct: VoiceRoomTokenRequest                            - Instance: 0x1F3EB262200
ScriptStruct: PlayerIdArray                                    - Instance: 0x1F3EB262080
ScriptStruct: ProductWithSettings                              - Instance: 0x1F3EB261F00
ScriptStruct: ProductTradeInFilter                             - Instance: 0x1F3EB261D80
ScriptStruct: ColorOverride                                    - Instance: 0x1F3EB261C00
ScriptStruct: TeamColor                                        - Instance: 0x1F3EB261A80
ScriptStruct: MapSkillSettings                                 - Instance: 0x1F3EB261900
ScriptStruct: MaterialTextureParam                             - Instance: 0x1F3EB261300
ScriptStruct: MaterialVectorParam                              - Instance: 0x1F3EB261000
ScriptStruct: MaterialScalarParam                              - Instance: 0x1F3EB261480
ScriptStruct: MaterialParams                                   - Instance: 0x1F3EB261600
ScriptStruct: AssociativeMaterialParams                        - Instance: 0x1F3EB260E80
ScriptStruct: SkinBodySettings                                 - Instance: 0x1F3EB261780
ScriptStruct: UniqueNetIdGroup4                                - Instance: 0x1F3EB261180
ScriptStruct: OnlineProductAttribute                           - Instance: 0x1F3EB260880
ScriptStruct: OnlineProductData                                - Instance: 0x1F3EB260A00
ScriptStruct: CurrencyProductData                              - Instance: 0x1F3EB260580
ScriptStruct: Currency                                         - Instance: 0x1F3EB260700
ScriptStruct: OnlineXPModifier                                 - Instance: 0x1F3EB260100
ScriptStruct: OnlineXPReward                                   - Instance: 0x1F3EB260280
ScriptStruct: OnlineProductDrop                                - Instance: 0x1F3EB260D00
ScriptStruct: ChallengeRequirementProgress                     - Instance: 0x1F3EB253E80
ScriptStruct: ChallengeProgress                                - Instance: 0x1F3EB260B80
ScriptStruct: XPRewardData                                     - Instance: 0x1F3EB260400
ScriptStruct: GarageSlotCost                                   - Instance: 0x1F3EB253D00
ScriptStruct: ProductDrop                                      - Instance: 0x1F3EB253B80
ScriptStruct: RPCIntroCar                                      - Instance: 0x1F3EB253A00
ScriptStruct: IntroCarInfo                                     - Instance: 0x1F3EB253700
ScriptStruct: EditorIntroCar                                   - Instance: 0x1F3EB253880
ScriptStruct: AppliedBreakoutDamage                            - Instance: 0x1F3EB253580
ScriptStruct: PaintAttributeParameter                          - Instance: 0x1F3EB253400
ScriptStruct: ProductLevelData                                 - Instance: 0x1F3EB253280
ScriptStruct: BallPredictionInfo                               - Instance: 0x1F3EB253100
ScriptStruct: PlayerPrivateMatchData                           - Instance: 0x1F3EB252F80
ScriptStruct: StatData                                         - Instance: 0x1F3EB252B00
ScriptStruct: QuickChatGroup                                   - Instance: 0x1F3EB252C80
ScriptStruct: OnlinePlayerMatchData                            - Instance: 0x1F3EB252E00
ScriptStruct: StatDataFloat                                    - Instance: 0x1F3EB252980
ScriptStruct: ActorHistory                                     - Instance: 0x1F3EB252800
ScriptStruct: SortedProductData                                - Instance: 0x1F3EB252680
ScriptStruct: EditorRoundData                                  - Instance: 0x1F3EB252500
ScriptStruct: LoadObjectResult                                 - Instance: 0x1F3EB252380
ScriptStruct: SaveObjectResult                                 - Instance: 0x1F3EB252200
ScriptStruct: WeldingInfo                                      - Instance: 0x1F3EB252080
ScriptStruct: ChatBanInfo                                      - Instance: 0x1F3EB251F00
ScriptStruct: PlayerChatMessage                                - Instance: 0x1F3EB251D80
ScriptStruct: ReportedPlayerInfo                               - Instance: 0x1F3EB251C00
ScriptStruct: BoostOptionData                                  - Instance: 0x1F3EB251A80
ScriptStruct: GoalResetOptionData                              - Instance: 0x1F3EB251900
ScriptStruct: GameModeData                                     - Instance: 0x1F3EB251780
ScriptStruct: SimilarLogoGroup                                 - Instance: 0x1F3EB251600
ScriptStruct: UIProductSlotData                                - Instance: 0x1F3EB251480
ScriptStruct: SimpleSpringSettings                             - Instance: 0x1F3EB251300
ScriptStruct: WheelContactData                                 - Instance: 0x1F3EB251180
ScriptStruct: WheelAttachment                                  - Instance: 0x1F3EB251000
ScriptStruct: ProductAttachment                                - Instance: 0x1F3EB250E80
ScriptStruct: AccumulatedRigidBodyCollision                    - Instance: 0x1F3EB250D00
ScriptStruct: TAPlayerStat                                     - Instance: 0x1F3EB250B80
ScriptStruct: BallHitInfo                                      - Instance: 0x1F3EB250A00
ScriptStruct: MessageValue                                     - Instance: 0x1F3EB250700
ScriptStruct: MessagePacket                                    - Instance: 0x1F3EB250880
ScriptStruct: ClientFrameData                                  - Instance: 0x1F3EB250580
ScriptStruct: OnlineProductStat                                - Instance: 0x1F3EB250400
ScriptStruct: ProductAttributesArray                           - Instance: 0x1F3EB250100
ScriptStruct: LoadoutAttributesArray                           - Instance: 0x1F3EB250280
ScriptStruct: LoadoutProductData                               - Instance: 0x1F3EB237B80
ScriptStruct: ServerSetLoadoutTeam                             - Instance: 0x1F3EB237D00
ScriptStruct: ServerSetLoadoutParams                           - Instance: 0x1F3EB237E80
ScriptStruct: RandomRange                                      - Instance: 0x1F3EB237A00
ScriptStruct: SchematicResourceData                            - Instance: 0x1F3EB237880
ScriptStruct: ProfileProduct                                   - Instance: 0x1F3EB237700
ScriptStruct: ProductFilter                                    - Instance: 0x1F3EB237580
ScriptStruct: ThumbnailComponent                               - Instance: 0x1F3EB237400
ScriptStruct: RocketPassTierBonusRange                         - Instance: 0x1F3EB237100
ScriptStruct: RocketPassUnlock                                 - Instance: 0x1F3EB236F80
ScriptStruct: TierUnlockRequirements                           - Instance: 0x1F3EB236C80
ScriptStruct: RocketPassPageData                               - Instance: 0x1F3EB236E00
ScriptStruct: OnlineProductTimestampedData                     - Instance: 0x1F3EB236380
ScriptStruct: ItemSetsData                                     - Instance: 0x1F3EB236680
ScriptStruct: RocketPassRewardData                             - Instance: 0x1F3EB236800
ScriptStruct: RocketPassExtendedRewardData                     - Instance: 0x1F3EB236980
ScriptStruct: RocketPassPage                                   - Instance: 0x1F3EB236B00
ScriptStruct: RocketPassClaimData                              - Instance: 0x1F3EB236500
ScriptStruct: RocketPassInfo                                   - Instance: 0x1F3EB236200
ScriptStruct: RocketPassBundleInfo                             - Instance: 0x1F3EB235D80
ScriptStruct: RocketPassStore                                  - Instance: 0x1F3EB236080
ScriptStruct: RocketPassPurchasable                            - Instance: 0x1F3EB235F00
ScriptStruct: OnlineReward                                     - Instance: 0x1F3EB235C00
ScriptStruct: TradeSkipValidation                              - Instance: 0x1F3EB235A80
ScriptStruct: SeasonMatch                                      - Instance: 0x1F3EB235900
ScriptStruct: SeasonTeam                                       - Instance: 0x1F3EB235780
ScriptStruct: SeasonPlayerStat                                 - Instance: 0x1F3EB235600
ScriptStruct: SeasonPlayer                                     - Instance: 0x1F3EB235480
ScriptStruct: SeasonTeamRank                                   - Instance: 0x1F3EB235300
ScriptStruct: ReplayHeaderLoadResult                           - Instance: 0x1F3EB235180
ScriptStruct: ProfileAutoCamSettings                           - Instance: 0x1F3EB235000
ScriptStruct: ProfileCameraSettings                            - Instance: 0x1F3EB234E80
ScriptStruct: StatEventScore                                   - Instance: 0x1F3EB234D00
ScriptStruct: XPInfo                                           - Instance: 0x1F3EB234B80
ScriptStruct: ProductStat                                      - Instance: 0x1F3EB234A00
ScriptStruct: DemolishInvulnerability                          - Instance: 0x1F3EB234880
ScriptStruct: DemolishData                                     - Instance: 0x1F3EB234400
ScriptStruct: DemolishDataGoalExplosion                        - Instance: 0x1F3EB234580
ScriptStruct: DemolishDataExtended                             - Instance: 0x1F3EB234700
ScriptStruct: DemolishData2                                    - Instance: 0x1F3EB234280
ScriptStruct: UISavedKeyValue                                  - Instance: 0x1F3EB234100
ScriptStruct: PlaylistMapPrefs                                 - Instance: 0x1F3EB22BE80
ScriptStruct: NetBucketMetrics                                 - Instance: 0x1F3EB22BD00
ScriptStruct: FPSBucketMetrics                                 - Instance: 0x1F3EB22BB80
ScriptStruct: BodyToEngineAudioPair                            - Instance: 0x1F3EB22BA00
ScriptStruct: PartyUpMergeError                                - Instance: 0x1F3EB22B880
ScriptStruct: AutoFlipData                                     - Instance: 0x1F3EB22B700
ScriptStruct: StickyForceData                                  - Instance: 0x1F3EB22B580
ScriptStruct: WaveParams                                       - Instance: 0x1F3EB22B400
ScriptStruct: PersonaDataId                                    - Instance: 0x1F3EB22B280
ScriptStruct: PaintWithOverride                                - Instance: 0x1F3EB22B100
ScriptStruct: PlayerActorIDPair                                - Instance: 0x1F3EB22AF80
ScriptStruct: CustomGameSetting                                - Instance: 0x1F3EB22AE00
ScriptStruct: ModeMapPair                                      - Instance: 0x1F3EB22AC80
ScriptStruct: OnlineFreeplayOption                             - Instance: 0x1F3EB22AB00
ScriptStruct: ItemShopNotificationData                         - Instance: 0x1F3EB22A680
ScriptStruct: ShopCurrencyInfo                                 - Instance: 0x1F3EB22A200
ScriptStruct: DestructionProductValue                          - Instance: 0x1F3EB22A500
ScriptStruct: ShopData                                         - Instance: 0x1F3EB22A380
ScriptStruct: ShopDeliverable                                  - Instance: 0x1F3EB229C00
ScriptStruct: ShopPrice                                        - Instance: 0x1F3EB229900
ScriptStruct: ShopDiscount                                     - Instance: 0x1F3EB229600
ScriptStruct: ShopCost                                         - Instance: 0x1F3EB229A80
ScriptStruct: OnlineShopAttribute                              - Instance: 0x1F3EB229D80
ScriptStruct: ShopItem                                         - Instance: 0x1F3EB229F00
ScriptStruct: ShopCatalogue                                    - Instance: 0x1F3EB22A080
ScriptStruct: CurrencyProductData                              - Instance: 0x1F3EB229480
ScriptStruct: ShopCurrency                                     - Instance: 0x1F3EB229780
ScriptStruct: ShopCurrencyData                                 - Instance: 0x1F3EB229300
ScriptStruct: TourPlayer                                       - Instance: 0x1F3EB228400
ScriptStruct: TourReward                                       - Instance: 0x1F3EB228280
ScriptStruct: TourTeam                                         - Instance: 0x1F3EB228100
ScriptStruct: TourMatchGame                                    - Instance: 0x1F3EB20BB80
ScriptStruct: TourPlayerStats                                  - Instance: 0x1F3EB20BA00
ScriptStruct: TourMatch                                        - Instance: 0x1F3EB20B880
ScriptStruct: IntPair                                          - Instance: 0x1F3EB20B700
ScriptStruct: QWORDPair                                        - Instance: 0x1F3EB20B580
ScriptStruct: TourMatchNode                                    - Instance: 0x1F3EB20B400
ScriptStruct: TourPlacementInfo                                - Instance: 0x1F3EB20B280
ScriptStruct: TourLeaderboard                                  - Instance: 0x1F3EB20B100
ScriptStruct: TourMatchPlayerStats                             - Instance: 0x1F3EB20AF80
ScriptStruct: TourMatchTeamDetails                             - Instance: 0x1F3EB20AE00
ScriptStruct: TourBracket                                      - Instance: 0x1F3EB20AC80
ScriptStruct: CachedPodiumCar                                  - Instance: 0x1F3EB209A80
ScriptStruct: PendingHit                                       - Instance: 0x1F3EB209300
ScriptStruct: WheelSkelControlSet                              - Instance: 0x1F3EB1EF280
ScriptStruct: PendingCodeRedemption                            - Instance: 0x1F3EB1ED180
ScriptStruct: CrumbTrailData                                   - Instance: 0x1F3EB1D7D00
ScriptStruct: EOSGameClipsAccountLinkInfo                      - Instance: 0x1F3EB1D6C80
ScriptStruct: EOSGameClipsClipInfo                             - Instance: 0x1F3EB1D6B00
ScriptStruct: VoiceRoomToken                                   - Instance: 0x1F3EB1D6800
ScriptStruct: MappedRoomMember                                 - Instance: 0x1F3EB1D6380
ScriptStruct: VoiceRoom                                        - Instance: 0x1F3EB1D5D80
ScriptStruct: PlatformAudioDevices                             - Instance: 0x1F3EB1D4E80
ScriptStruct: EpicConvertFriendsSaveData                       - Instance: 0x1F3EB1D4700
ScriptStruct: FTEGroup                                         - Instance: 0x1F3EB1C6E00
ScriptStruct: CompletedFTEInfo                                 - Instance: 0x1F3EB1C6680
ScriptStruct: FTELevelData                                     - Instance: 0x1F3EB1C6080
ScriptStruct: FTEChallengeInfo                                 - Instance: 0x1F3EB1B6E00
ScriptStruct: SafeZoneInfo                                     - Instance: 0x1F3EB1B3700
ScriptStruct: PlayerLeavingData                                - Instance: 0x1F3EB159900
ScriptStruct: ClubMemberCount                                  - Instance: 0x1F3EB13D480
ScriptStruct: PendingClubStatRecord                            - Instance: 0x1F3EB13D300
ScriptStruct: SeriesTeam                                       - Instance: 0x1F3EB134D00
ScriptStruct: MemberTitleStat                                  - Instance: 0x1F3EB12FE80
ScriptStruct: FpsBucketData                                    - Instance: 0x1F3EB12EE00
ScriptStruct: GameEventData                                    - Instance: 0x1F3EB0B5D80
ScriptStruct: PostMatchCelebrationData                         - Instance: 0x1F3EB0B5C00
ScriptStruct: BallData                                         - Instance: 0x1F3EB0B5780
ScriptStruct: CarGoalData                                      - Instance: 0x1F3EB0B5600
ScriptStruct: CarData                                          - Instance: 0x1F3EB0B5480
ScriptStruct: GFxChatMessage                                   - Instance: 0x1F3EC097B80
ScriptStruct: ChatPresetGroupOverride                          - Instance: 0x1F3EC097100
ScriptStruct: ChatPresetMessageGroup                           - Instance: 0x1F3EC096F80
ScriptStruct: ChatPresetMessage                                - Instance: 0x1F3EC096E00
ScriptStruct: ChatChannelHistory                               - Instance: 0x1F3EC096C80
ScriptStruct: NotificationCooldown                             - Instance: 0x1F3EC06FD00
ScriptStruct: PendingError                                     - Instance: 0x1F3EC06F280
ScriptStruct: MenuTreeNodeData                                 - Instance: 0x1F3EC05E680
ScriptStruct: MenuTreeFocusMap                                 - Instance: 0x1F3EC05E380
ScriptStruct: GFxMusicPlaylist                                 - Instance: 0x1F3EC047880
ScriptStruct: GFXNotificationInfo                              - Instance: 0x1F3EC046500
ScriptStruct: InviteDatabind                                   - Instance: 0x1F3EC044D00
ScriptStruct: InviteTarget                                     - Instance: 0x1F3EC044B80
ScriptStruct: ProductHashSource                                - Instance: 0x1F3EC02F400
ScriptStruct: FilterProductSlot                                - Instance: 0x1F3EC02E680
ScriptStruct: FilterProductQuality                             - Instance: 0x1F3EC02E500
ScriptStruct: FilterProductAttribute                           - Instance: 0x1F3EC02E380
ScriptStruct: FilterProductExtraAttributeEntry                 - Instance: 0x1F3EC02E080
ScriptStruct: FilterProductSeries                              - Instance: 0x1F3EC02DF00
ScriptStruct: FilterProductPaint                               - Instance: 0x1F3EC02DD80
ScriptStruct: FilterProductSorting                             - Instance: 0x1F3EC02DC00
ScriptStruct: TradeIn                                          - Instance: 0x1F3EC01E980
ScriptStruct: TourServerSettings                               - Instance: 0x1F3EC019180
ScriptStruct: TourPrivateCredentials                           - Instance: 0x1F3EC019000
ScriptStruct: TourCreateSettings                               - Instance: 0x1F3EC018580
ScriptStruct: DragonEntry                                      - Instance: 0x1F3EBFF4280
ScriptStruct: OnlineMapData                                    - Instance: 0x1F3EBFDEF80
ScriptStruct: OnlineMapSet                                     - Instance: 0x1F3EBFDEE00
ScriptStruct: MapSetMapData                                    - Instance: 0x1F3EBFDEC80
ScriptStruct: ActivePlaylistInfo                               - Instance: 0x1F3EBFDDA80
ScriptStruct: RankedUnlockCondition                            - Instance: 0x1F3EBFDD900
ScriptStruct: PriceInfo                                        - Instance: 0x1F3EBFDD180
ScriptStruct: MTXPurchaseInfo                                  - Instance: 0x1F3EBFDD000
ScriptStruct: ResimMetricData                                  - Instance: 0x1F3EBFBA200
ScriptStruct: PlatformMetricData                               - Instance: 0x1F3EBFB9F00
ScriptStruct: PlatformMetric                                   - Instance: 0x1F3EBFB9D80
ScriptStruct: OptionsValue                                     - Instance: 0x1F3EBFB8400
ScriptStruct: PlaylistSkillData                                - Instance: 0x1F3EBFB8280
ScriptStruct: LegalTextVersion                                 - Instance: 0x1F3EBFABD00
ScriptStruct: ParameterInformation                             - Instance: 0x1F3EBFAB700
ScriptStruct: BodyChassisOverride                              - Instance: 0x1F3EBFAB580
ScriptStruct: PaintColorParameterOverride                      - Instance: 0x1F3EBFA9480
ScriptStruct: PlayerGameID                                     - Instance: 0x1F3EBFA8700
ScriptStruct: PlayerLoadoutData                                - Instance: 0x1F3EBFA8400
ScriptStruct: RocketPassNotificationData                       - Instance: 0x1F3EBF92980
ScriptStruct: WheelFX                                          - Instance: 0x1F3EBF90280
ScriptStruct: SoundEventSetting                                - Instance: 0x1F3EBF7BD00
ScriptStruct: ShopAdData                                       - Instance: 0x1F3EBF7BA00
ScriptStruct: ShopItemCacheItem                                - Instance: 0x1F3EBF7B280
ScriptStruct: ReadyItemShopNotification                        - Instance: 0x1F3EBF7AF80
ScriptStruct: SpecialEventStoreConfigs                         - Instance: 0x1F3EBF57700
ScriptStruct: PartyInfo                                        - Instance: 0x1F3EBF56380
ScriptStruct: PendingValidatedMessage                          - Instance: 0x1F3EBF3E980
ScriptStruct: PendingSignedMessage                             - Instance: 0x1F3EBF3E800
ScriptStruct: PendingKeyGenMessage                             - Instance: 0x1F3EBF3E500
ScriptStruct: UserPublicKey                                    - Instance: 0x1F3EBF3E380
ScriptStruct: KeyRegistrationContent                           - Instance: 0x1F3EBF3CB80
ScriptStruct: BracketResult                                    - Instance: 0x1F3EBF3BE80
ScriptStruct: BracketRequest                                   - Instance: 0x1F3EBF3BD00
ScriptStruct: TeamUpdateInfo                                   - Instance: 0x1F3EBF3AB00
ScriptStruct: TourSearchSettings                               - Instance: 0x1F3EBF3A200
ScriptStruct: GFxTournamentReward                              - Instance: 0x1F3EBF3A080
ScriptStruct: TournamentResult                                 - Instance: 0x1F3EBF39F00
ScriptStruct: TourResult                                       - Instance: 0x1F3EBF39D80
ScriptStruct: TourStatus                                       - Instance: 0x1F3EBF1DC00
ScriptStruct: UserBugReportCategory                            - Instance: 0x1F3EBF1CA00
ScriptStruct: SettingEvent                                     - Instance: 0x1F3EBF1C280
ScriptStruct: VanityQueryRequest                               - Instance: 0x1F3EBF13D00
ScriptStruct: ViralSeriesGroup                                 - Instance: 0x1F3EBF13700
ScriptStruct: Voter                                            - Instance: 0x1F3EBF13100
ScriptStruct: BTDynamicLinkData                                - Instance: 0x1F3EBF12980
ScriptStruct: AIProxyData                                      - Instance: 0x1F3EBF12800
ScriptStruct: AICachedGoalInfo                                 - Instance: 0x1F3EBF12680
ScriptStruct: CrowdExcitementSound                             - Instance: 0x1F3EBF12500
ScriptStruct: CrowdExcitementSounds                            - Instance: 0x1F3EBF12380
ScriptStruct: CrowdDefense                                     - Instance: 0x1F3EBF12200
ScriptStruct: CrowdScoreState                                  - Instance: 0x1F3EBF12080
ScriptStruct: CrowdValueState                                  - Instance: 0x1F3EBF11F00
ScriptStruct: FreeplayCommandsMetricsData                      - Instance: 0x1F3EBF11D80
ScriptStruct: FreeplayCommandEvent                             - Instance: 0x1F3EBF11C00
ScriptStruct: TournamentEndData                                - Instance: 0x1F3EBF11A80
ScriptStruct: FaceItReservationMatchInfo                       - Instance: 0x1F3EBF11900
ScriptStruct: TrainingRoundProgress                            - Instance: 0x1F3EBF11000
ScriptStruct: ClientLoadoutDatas                               - Instance: 0x1F3EBEC7D00
ScriptStruct: SkillTierData                                    - Instance: 0x1F3EBEB3580
ScriptStruct: OverflowedProperties                             - Instance: 0x1F3EBE9CB80
ScriptStruct: ActorOverflowEvent                               - Instance: 0x1F3EBE9CD00
ScriptStruct: CachedAdImageData                                - Instance: 0x1F3EBE9BE80
ScriptStruct: BillboardData                                    - Instance: 0x1F3EBE9BD00
ScriptStruct: BillboardUpdateRequestData                       - Instance: 0x1F3EBE9BB80
ScriptStruct: AdInfo                                           - Instance: 0x1F3EBE9BA00
ScriptStruct: MapAds                                           - Instance: 0x1F3EBE9B280
ScriptStruct: TimedLock                                        - Instance: 0x1F3EBE9A080
ScriptStruct: CachedProxyData                                  - Instance: 0x1F3EBE99480
ScriptStruct: CachedTargetData                                 - Instance: 0x1F3EBE99300
ScriptStruct: SkillRange                                       - Instance: 0x1F3EBE99180
ScriptStruct: CachedObstaclePoly                               - Instance: 0x1F3EBE99000
ScriptStruct: CachedObstaclesData                              - Instance: 0x1F3EBE98E80
ScriptStruct: CachedNavMeshLocation                            - Instance: 0x1F3EBE6D780
ScriptStruct: ExplosionPaintInfo                               - Instance: 0x1F3EBE5E980
ScriptStruct: ClientLoadoutOnlineDatas                         - Instance: 0x1F3EBE5DF00
ScriptStruct: SlapbackActorSetup                               - Instance: 0x1F3EBE5D780
ScriptStruct: ArenaStatSound                                   - Instance: 0x1F3EBE47700
ScriptStruct: StatEventCollection                              - Instance: 0x1F3EBE45780
ScriptStruct: ProductSlotNewDrawScale                          - Instance: 0x1F3EBE44700
ScriptStruct: GoalCountAndAsset                                - Instance: 0x1F3EBE44280
ScriptStruct: FXAttachmentSoundOverride                        - Instance: 0x1F3EBE41A80
ScriptStruct: TeamEditionOverrides                             - Instance: 0x1F3EBE41900
ScriptStruct: PriorityCandidate                                - Instance: 0x1F3EBE1EB00
ScriptStruct: ScheduledTournament                              - Instance: 0x1F3EBE12F80
ScriptStruct: TournamentWeek                                   - Instance: 0x1F3EBE12E00
ScriptStruct: ScheduleRegion                                   - Instance: 0x1F3EBE0AE00
ScriptStruct: WorldContactData                                 - Instance: 0x1F3EBE0A500
ScriptStruct: NetworkSyncSettingsData                          - Instance: 0x1F3EBE0A380
ScriptStruct: TimeOfImpactData                                 - Instance: 0x1F3EBE0A200
ScriptStruct: PitchTekCarBodyContactData                       - Instance: 0x1F3EBDF9D80
ScriptStruct: PredictedPosition                                - Instance: 0x1F3EBDF9780
ScriptStruct: ExplosionData                                    - Instance: 0x1F3EBDF9600
ScriptStruct: ExplosionDataExtended                            - Instance: 0x1F3EBDF9480
ScriptStruct: GoalPenetrationData                              - Instance: 0x1F3EBDF9300
ScriptStruct: CarBallInteractionSettings                       - Instance: 0x1F3EBDF9180
ScriptStruct: BreakoutDamage                                   - Instance: 0x1F3EBDD8400
ScriptStruct: TrajectorySetup                                  - Instance: 0x1F3EBD9D900
ScriptStruct: TrajectoryFX                                     - Instance: 0x1F3EBD7A800
ScriptStruct: MeshInfo                                         - Instance: 0x1F3EBD7A080
ScriptStruct: TrajectorySplineFX                               - Instance: 0x1F3EBD79300
ScriptStruct: BeamTraceProps                                   - Instance: 0x1F3EBD6AB00
ScriptStruct: AnimatedMaterialParam                            - Instance: 0x1F3EBD69D80
ScriptStruct: AnimatedMaterialParamFloat                       - Instance: 0x1F3EBD69C00
ScriptStruct: AnimatedMaterialParamVector                      - Instance: 0x1F3EBD69A80
ScriptStruct: BoostMeshOverride                                - Instance: 0x1F3EBD69600
ScriptStruct: AnimatedMaterialParamColor                       - Instance: 0x1F3EBD69780
ScriptStruct: AnimatedMaterialMesh                             - Instance: 0x1F3EBD69900
ScriptStruct: BreakoutDamageState                              - Instance: 0x1F3EBD53A00
ScriptStruct: BTStatusLog                                      - Instance: 0x1F3EBD07100
ScriptStruct: ProfileSliderLimits                              - Instance: 0x1F3EBD04580
ScriptStruct: SwivelExtent                                     - Instance: 0x1F3EBD04400
ScriptStruct: InterpVector                                     - Instance: 0x1F3EBCD7400
ScriptStruct: PlaneSelectData                                  - Instance: 0x1F3EBCD4E80
ScriptStruct: AngleSelectData                                  - Instance: 0x1F3EBCD4D00
ScriptStruct: TargetCacheEntry                                 - Instance: 0x1F3EBCACB80
ScriptStruct: GoalData                                         - Instance: 0x1F3EBC96380
ScriptStruct: CameraSettings                                   - Instance: 0x1F3EBC79480
ScriptStruct: StateParams                                      - Instance: 0x1F3EBC36380
ScriptStruct: CameraTrackRotationPoint                         - Instance: 0x1F3EBC35480
ScriptStruct: CarInteractionData                               - Instance: 0x1F3EBC17880
ScriptStruct: InheritedObjects                                 - Instance: 0x1F3EBC0B880
ScriptStruct: VehicleWheelSettings                             - Instance: 0x1F3EBC09F00
ScriptStruct: VehicleAxleSettings                              - Instance: 0x1F3EBC0A200
ScriptStruct: PaintMaterialGroup                               - Instance: 0x1F3EBBF5180
ScriptStruct: CarStateData                                     - Instance: 0x1F3EBBE4880
